	TEMPERATURE DETAILS

Pc_id       peak_temp         Avg_temp
 2               54            40
 3               44            39
 
 0               71            58
 1               74            59
 2               54            40
 3               44            40
 
Set1/Set_1_m_4_U_70_n_20_tss_80.txt
 0               103            66
 1               94            56
 2               95            68
 3               116            70
 
 0               99            68
 1               91            57
 2               93            68
 3               116            70
 
 0               99            66
 1               71            47
 2               81            64
 3               64            64
 
 0               95            66
 1               70            48
 2               80            65
 3               64            64
 
Set1/Set_1_m_4_U_70_n_20_tss_90.txt
 0               95            70
 1               129            89
 2               94            67
 3               25            25
 
 0               91            70
 1               125            91
 2               88            66
 3               25            25
 
 0               91            72
 1               129            88
 2               71            57
 3               -2147483647            0
 
 0               88            72
 1               125            92
 2               69            57
 3               -2147483647            0
 
Set1/Set_1_m_4_U_80_n_20_tss_50.txt
 0               65            44
 1               49            38
 2               60            45
 3               57            40
 
 0               62            47
 1               48            37
 2               59            45
 3               56            40
 
 0               65            47
 1               43            34
 2               50            41
 3               28            24
 
 0               62            47
 1               42            33
 2               50            41
 3               28            24
 
Set1/Set_1_m_4_U_80_n_20_tss_60.txt
 0               74            53
 1               75            50
 2               51            42
 3               77            49
 
 0               72            54
 1               73            50
 2               49            42
 3               75            50
 
 0               70            53
 1               68            48
 2               38            35
 3               38            29
 
 0               69            54
 1               66            49
 2               38            35
 3               38            29
 
Set1/Set_1_m_4_U_80_n_20_tss_70.txt
 0               106            63
 1               67            54
 2               76            58
 3               73            56
 
 0               102            68
 1               65            54
 2               72            57
 3               73            55
 
 0               106            64
 1               56            50
 2               65            55
 3               37            36
 
 0               102            66
 1               55            51
 2               62            55
 3               37            36
 
Set1/Set_1_m_4_U_80_n_20_tss_80.txt
 0               107            66
 1               92            73
 2               82            59
 3               98            68
 
 0               99            65
 1               90            73
 2               82            58
 3               95            69
 
 0               98            65
 1               92            70
 2               51            42
 3               73            60
 
 0               93            64
 1               90            71
 2               51            42
 3               73            62
 
Set1/Set_1_m_4_U_80_n_20_tss_90.txt
 0               119            78
 1               112            70
 2               111            85
 3               76            54
 
 0               114            79
 1               108            71
 2               111            89
 3               76            53
 
 0               109            77
 1               96            65
 2               111            89
 3               42            36
 
 0               106            78
 1               94            67
 2               111            89
 3               42            36
 
Set1/Set_1_m_4_U_90_n_20_tss_50.txt
 0               51            44
 1               52            40
 2               60            40
 3               61            48
 
 0               51            43
 1               50            40
 2               59            41
 3               60            48
 
 0               44            40
 1               47            39
 2               50            36
 3               58            49
 
 0               44            40
 1               46            39
 2               50            37
 3               58            49
 
Set1/Set_1_m_4_U_90_n_20_tss_60.txt
 0               62            41
 1               63            53
 2               95            52
 3               82            56
 
 0               61            40
 1               60            52
 2               94            53
 3               81            56
 
 0               53            37
 1               57            52
 2               82            49
 3               70            53
 
 0               53            37
 1               56            51
 2               81            49
 3               69            53
 
Set1/Set_1_m_4_U_90_n_20_tss_70.txt
 0               85            65
 1               65            54
 2               93            54
 3               71            56
 
 0               81            65
 1               63            55
 2               93            53
 3               69            55
 
 0               77            63
 1               65            55
 2               59            39
 3               64            56
 
 0               74            63
 1               63            55
 2               59            39
 3               63            56
 
Set1/Set_1_m_4_U_90_n_20_tss_80.txt
 0               85            74
 1               85            57
 2               94            74
 3               96            61
 
 0               85            75
 1               83            56
 2               94            73
 3               95            61
 
 0               85            75
 1               64            47
 2               83            70
 3               87            62
 
 0               85            75
 1               64            48
 2               83            70
 3               87            63
 
Set1/Set_1_m_4_U_90_n_20_tss_90.txt
 0               98            72
 1               126            78
 2               116            81
 3               93            64
 
 0               98            71
 1               122            78
 2               108            81
 3               91            65
 
 0               86            68
 1               108            74
 2               106            82
 3               79            61
 
 0               86            68
 1               106            75
 2               100            82
 3               78            62
 
Set1/Set_1_m_4_U_100_n_20_tss_50.txt
 0               71            48
 1               64            42
 2               60            44
 3               55            45
 
 0               71            49
 1               63            42
 2               60            44
 3               55            47
 
 0               71            48
 1               64            42
 2               55            43
 3               55            47
 
 0               71            49
 1               63            42
 2               55            43
 3               55            48
 
Set1/Set_1_m_4_U_100_n_20_tss_60.txt
 0               74            54
 1               73            55
 2               67            48
 3               82            58
 
 0               73            54
 1               72            54
 2               67            49
 3               81            56
 
 0               74            54
 1               73            55
 2               65            49
 3               74            58
 
 0               73            54
 1               72            54
 2               65            49
 3               73            58
 
Set1/Set_1_m_4_U_100_n_20_tss_70.txt
 0               91            52
 1               82            65
 2               72            62
 3               90            75
 
 0               90            53
 1               82            65
 2               71            62
 3               90            74
 
 0               83            51
 1               82            65
 2               72            64
 3               90            76
 
 0               82            51
 1               82            65
 2               71            65
 3               90            76
 
Set1/Set_1_m_4_U_100_n_20_tss_80.txt
 0               95            74
 1               94            72
 2               81            71
 3               84            65
 
 0               90            73
 1               92            72
 2               79            71
 3               79            63
 
 0               81            70
 1               94            72
 2               81            71
 3               81            66
 
 0               78            71
 1               92            72
 2               79            71
 3               76            65
 
Set1/Set_1_m_4_U_100_n_20_tss_90.txt
 0               100            76
 1               103            75
 2               114            75
 3               132            89
 
 0               97            79
 1               99            75
 2               104            74
 3               131            92
 
 0               95            78
 1               103            75
 2               105            76
 3               126            92
 
 0               94            79
 1               99            75
 2               97            76
 3               125            93
 
